Site,Age (Ma),Genus,d18O,d13C
607,0.0000,CIB,3.28,0.88
849,0.0000,CIB,3.58,0.15
607,0.0020,CIB,3.16,0.96
659,0.0020,CIB,2.91,
607,0.0040,CIB,3.33,0.88
659,0.0040,CIB,3.16,
849,0.0040,CIB,3.58,0.17
607,0.0059,CIB,3.66,0.70
659,0.0060,CIB,3.23,
806,0.0070,CIB,2.97,0.27
659,0.0080,CIB,3.23,
849,0.0080,CIB,3.71,0.06
659,0.0100,CIB,3.20,
806,0.0100,CIB,3.11,0.27
607,0.0118,CIB,4.35,0.55
806,0.0120,CIB,3.65,-0.04
849,0.0120,CIB,4.34,-0.15
659,0.0130,CIB,3.47,
806,0.0150,CIB,4.32,-0.13
849,0.0160,CIB,4.72,-0.21
607,0.0179,CIB,5.07,0.15
659,0.0180,CIB,4.82,
659,0.0180,CIB,5.05,
806,0.0180,CIB,4.70,-0.13
659,0.0200,CIB,4.97,
849,0.0200,CIB,4.71,-0.14
607,0.0214,CIB,4.99,0.17
806,0.0230,CIB,4.42,-0.18
659,0.0240,CIB,4.93,
849,0.0240,CIB,4.62,-0.02
607,0.0260,CIB,4.82,0.22
659,0.0270,CIB,4.77,
806,0.0280,CIB,4.46,-0.16
849,0.0280,CIB,4.59,0.03
659,0.0300,CIB,4.30,
607,0.0305,CIB,4.65,0.59
849,0.0320,CIB,4.52,0.06
659,0.0330,CIB,4.54,
806,0.0330,CIB,4.28,0.05
607,0.0335,CIB,4.80,0.76
849,0.0360,CIB,4.48,0.05
607,0.0361,CIB,4.67,0.76
806,0.0370,CIB,4.18,-0.12
607,0.0388,CIB,4.59,0.72
659,0.0400,CIB,4.35,
849,0.0400,CIB,4.57,0.00
659,0.0410,CIB,4.38,
806,0.0420,CIB,4.20,-0.12
607,0.0423,CIB,4.53,0.84
849,0.0440,CIB,4.58,0.01
607,0.0457,CIB,4.45,0.74
806,0.0470,CIB,4.27,0.07
659,0.0480,CIB,4.13,
849,0.0480,CIB,4.48,0.05
607,0.0486,CIB,4.58,0.97
659,0.0500,CIB,4.43,
607,0.0507,CIB,4.45,0.85
659,0.0520,CIB,4.42,
806,0.0520,CIB,3.93,-0.19
849,0.0520,CIB,4.46,0.01
607,0.0529,CIB,4.19,0.77
659,0.0550,CIB,4.03,
607,0.0551,CIB,4.23,0.32
849,0.0560,CIB,4.47,-0.08
607,0.0569,CIB,4.55,0.03
806,0.0570,CIB,3.85,-0.21
849,0.0600,CIB,4.54,-0.19
607,0.0607,CIB,4.66,-0.01
806,0.0610,CIB,4.19,-0.23
659,0.0640,CIB,4.35,
806,0.0640,CIB,4.19,-0.17
849,0.0640,CIB,4.53,-0.13
607,0.0645,CIB,4.37,0.40
659,0.0650,CIB,4.76,
849,0.0680,CIB,4.39,0.06
659,0.0690,CIB,4.13,
607,0.0705,CIB,3.96,1.09
806,0.0720,CIB,3.96,-0.02
849,0.0720,CIB,4.20,0.19
607,0.0741,CIB,3.99,1.19
659,0.0760,CIB,4.15,
849,0.0760,CIB,4.14,0.14
607,0.0770,CIB,3.89,1.07
607,0.0799,CIB,3.77,0.91
659,0.0800,CIB,3.61,
806,0.0800,CIB,3.51,0.08
849,0.0800,CIB,4.05,0.12
607,0.0829,CIB,4.04,0.67
806,0.0830,CIB,3.69,-0.01
849,0.0840,CIB,3.90,0.18
607,0.0860,CIB,4.29,0.93
806,0.0870,CIB,3.87,0.06
849,0.0880,CIB,3.84,0.15
659,0.0890,CIB,3.92,
607,0.0894,CIB,4.07,1.01
659,0.0900,CIB,4.25,
806,0.0910,CIB,3.61,0.03
849,0.0920,CIB,3.90,0.11
607,0.0929,CIB,4.02,0.98
659,0.0950,CIB,3.68,
806,0.0950,CIB,3.42,0.04
849,0.0960,CIB,3.95,0.11
607,0.0967,CIB,3.81,1.01
659,0.0980,CIB,3.72,
806,0.0990,CIB,3.74,-0.02
849,0.1000,CIB,3.89,0.02
607,0.1004,CIB,3.62,0.83
659,0.1010,CIB,3.85,
659,0.1040,CIB,3.54,
806,0.1040,CIB,3.47,-0.06
849,0.1040,CIB,3.80,-0.01
607,0.1062,CIB,3.97,0.71
849,0.1080,CIB,3.76,0.06
659,0.1090,CIB,3.85,
806,0.1090,CIB,3.81,-0.16
607,0.1120,CIB,4.00,0.70
849,0.1120,CIB,3.68,0.09
659,0.1130,CIB,3.87,
659,0.1140,CIB,3.28,
806,0.1140,CIB,3.45,0.00
607,0.1155,CIB,3.69,0.91
849,0.1160,CIB,3.43,0.16
659,0.1180,CIB,4.25,
607,0.1188,CIB,3.62,0.81
806,0.1190,CIB,2.72,-0.14
659,0.1200,CIB,3.22,
849,0.1200,CIB,3.25,0.12
607,0.1217,CIB,3.19,0.78
659,0.1220,CIB,2.69,
849,0.1240,CIB,3.30,0.00
607,0.1244,CIB,3.05,0.92
659,0.1260,CIB,2.79,
806,0.1260,CIB,4.40,-0.30
607,0.1269,CIB,3.84,0.29
849,0.1280,CIB,3.78,-0.14
659,0.1310,CIB,3.69,
607,0.1312,CIB,4.64,0.12
849,0.1320,CIB,4.43,-0.27
806,0.1330,CIB,4.50,-0.34
659,0.1350,CIB,4.99,
659,0.1360,CIB,4.96,
849,0.1360,CIB,4.77,-0.34
659,0.1370,CIB,4.52,
607,0.1400,CIB,4.89,-0.17
659,0.1400,CIB,4.58,
849,0.1400,CIB,4.79,-0.37
659,0.1410,CIB,4.80,
806,0.1410,CIB,4.55,-0.33
659,0.1430,CIB,4.55,
659,0.1440,CIB,4.56,
849,0.1440,CIB,4.74,-0.31
607,0.1447,CIB,4.93,-0.25
806,0.1450,CIB,4.29,-0.45
607,0.1466,CIB,4.97,-0.03
659,0.1480,CIB,4.68,
849,0.1480,CIB,4.65,-0.29
607,0.1482,CIB,4.83,-0.02
659,0.1490,CIB,5.07,
607,0.1498,CIB,4.74,0.07
806,0.1510,CIB,4.30,-0.47
849,0.1520,CIB,4.58,-0.35
607,0.1521,CIB,4.58,0.14
659,0.1530,CIB,4.78,
607,0.1548,CIB,4.59,-0.13
806,0.1560,CIB,4.06,-0.41
849,0.1560,CIB,4.63,-0.34
659,0.1570,CIB,4.50,
607,0.1575,CIB,4.60,0.09
849,0.1600,CIB,4.62,-0.35
607,0.1602,CIB,4.38,0.14
659,0.1610,CIB,4.77,
806,0.1610,CIB,4.33,-0.48
607,0.1630,CIB,4.35,0.21
849,0.1640,CIB,4.43,-0.30
607,0.1655,CIB,4.30,0.28
806,0.1660,CIB,4.19,-0.44
659,0.1670,CIB,4.53,
607,0.1677,CIB,4.36,0.38
849,0.1680,CIB,4.27,-0.26
607,0.1698,CIB,4.50,0.17
659,0.1710,CIB,4.11,
806,0.1710,CIB,4.03,-0.39
607,0.1720,CIB,4.42,0.08
849,0.1720,CIB,4.25,-0.30
607,0.1741,CIB,4.52,0.04
659,0.1760,CIB,4.20,
806,0.1760,CIB,4.11,-0.54
849,0.1760,CIB,4.29,-0.36
607,0.1763,CIB,4.61,-0.18
849,0.1800,CIB,4.34,-0.36
607,0.1808,CIB,4.33,0.02
806,0.1810,CIB,4.14,-0.32
659,0.1830,CIB,4.50,
849,0.1840,CIB,4.27,-0.25
659,0.1860,CIB,4.44,
806,0.1860,CIB,3.94,-0.38
607,0.1873,CIB,4.06,0.61
849,0.1880,CIB,4.04,-0.09
659,0.1890,CIB,3.62,
806,0.1900,CIB,3.43,-0.15
659,0.1910,CIB,3.95,
849,0.1920,CIB,3.84,-0.03
607,0.1938,CIB,3.73,0.86
659,0.1940,CIB,2.87,
806,0.1950,CIB,3.43,-0.01
607,0.1955,CIB,3.48,0.85
849,0.1960,CIB,3.71,-0.05
607,0.1969,CIB,3.69,0.84
806,0.1990,CIB,3.39,0.02
607,0.1996,CIB,3.80,1.09
659,0.2000,CIB,3.40,
849,0.2000,CIB,3.70,-0.05
806,0.2020,CIB,3.20,0.03
607,0.2024,CIB,3.63,0.92
849,0.2040,CIB,3.78,0.02
659,0.2050,CIB,3.38,
607,0.2051,CIB,3.55,0.97
607,0.2079,CIB,3.56,0.86
849,0.2080,CIB,3.74,0.02
607,0.2115,CIB,3.61,0.80
849,0.2120,CIB,3.67,-0.04
659,0.2140,CIB,3.41,
849,0.2160,CIB,3.79,-0.12
607,0.2161,CIB,3.53,0.38
659,0.2170,CIB,3.56,
607,0.2190,CIB,3.56,0.26
659,0.2200,CIB,3.58,
806,0.2200,CIB,3.96,-0.51
849,0.2200,CIB,3.98,-0.22
659,0.2220,CIB,4.20,
607,0.2223,CIB,4.67,0.44
806,0.2240,CIB,4.15,-0.35
849,0.2240,CIB,4.08,-0.31
659,0.2250,CIB,4.72,
607,0.2256,CIB,4.33,0.53
806,0.2280,CIB,4.14,-0.14
