GEO_ID	NAME	B23006_001E	B23006_001M	B23006_002E	B23006_002M	B23006_003E	B23006_003M	B23006_004E	B23006_004M	B23006_005E	B23006_005M	B23006_006E	B23006_006M	B23006_007E	B23006_007M	B23006_008E	B23006_008M	B23006_009E	B23006_009M	B23006_010E	B23006_010M	B23006_011E	B23006_011M	B23006_012E	B23006_012M	B23006_013E	B23006_013M	B23006_014E	B23006_014M	B23006_015E	B23006_015M	B23006_016E	B23006_016M	B23006_017E	B23006_017M	B23006_018E	B23006_018M	B23006_019E	B23006_019M	B23006_020E	B23006_020M	B23006_021E	B23006_021M	B23006_022E	B23006_022M	B23006_023E	B23006_023M	B23006_024E	B23006_024M	B23006_025E	B23006_025M	B23006_026E	B23006_026M	B23006_027E	B23006_027M	B23006_028E	B23006_028M	B23006_029E	B23006_029M
id	Geographic Area Name	Estimate!!Total	Margin of Error!!Total	Estimate!!Total!!Less than high school graduate	Margin of Error!!Total!!Less than high school graduate	Estimate!!Total!!Less than high school graduate!!In labor force	Margin of Error!!Total!!Less than high school graduate!!In labor force	Estimate!!Total!!Less than high school graduate!!In labor force!!In Armed Forces	Margin of Error!!Total!!Less than high school graduate!!In labor force!!In Armed Forces	Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian	Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian	Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed	Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Employed	Estimate!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed	Margin of Error!!Total!!Less than high school graduate!!In labor force!!Civilian!!Unemployed	Estimate!!Total!!Less than high school graduate!!Not in labor force	Margin of Error!!Total!!Less than high school graduate!!Not in labor force	Estimate!!Total!!High school graduate (includes equivalency)	Margin of Error!!Total!!High school graduate (includes equivalency)	Estimate!!Total!!High school graduate (includes equivalency)!!In labor force	Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force	Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces	Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!In Armed Forces	Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian	Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian	Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed	Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Employed	Estimate!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed	Margin of Error!!Total!!High school graduate (includes equivalency)!!In labor force!!Civilian!!Unemployed	Estimate!!Total!!High school graduate (includes equivalency)!!Not in labor force	Margin of Error!!Total!!High school graduate (includes equivalency)!!Not in labor force	Estimate!!Total!!Some college or associate's degree	Margin of Error!!Total!!Some college or associate's degree	Estimate!!Total!!Some college or associate's degree!!In labor force	Margin of Error!!Total!!Some college or associate's degree!!In labor force	Estimate!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces	Margin of Error!!Total!!Some college or associate's degree!!In labor force!!In Armed Forces	Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian	Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian	Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed	Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Employed	Estimate!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed	Margin of Error!!Total!!Some college or associate's degree!!In labor force!!Civilian!!Unemployed	Estimate!!Total!!Some college or associate's degree!!Not in labor force	Margin of Error!!Total!!Some college or associate's degree!!Not in labor force	Estimate!!Total!!Bachelor's degree or higher	Margin of Error!!Total!!Bachelor's degree or higher	Estimate!!Total!!Bachelor's degree or higher!!In labor force	Margin of Error!!Total!!Bachelor's degree or higher!!In labor force	Estimate!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces	Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!In Armed Forces	Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian	Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian	Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed	Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Employed	Estimate!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed	Margin of Error!!Total!!Bachelor's degree or higher!!In labor force!!Civilian!!Unemployed	Estimate!!Total!!Bachelor's degree or higher!!Not in labor force	Margin of Error!!Total!!Bachelor's degree or higher!!Not in labor force
310M400US10500	Albany, GA Metro Area	72649	1307	11025	1671	5585	1312	0	226	5585	1312	4341	1175	1244	807	5440	1199	23205	2295	17257	2079	18	33	17239	2085	15967	2038	1272	756	5948	1068	25365	2423	20520	2192	289	317	20231	2174	18709	2147	1522	863	4845	1077	13054	1620	10681	1658	0	226	10681	1658	10194	1647	487	380	2373	863
310M400US33260	Midland, TX Metro Area	92042	1151	13757	2367	11148	2171	0	228	11148	2171	10574	2247	574	511	2609	879	22361	3088	18324	2950	0	228	18324	2950	18210	2964	114	167	4037	1268	31467	3384	26101	3053	0	228	26101	3053	25577	3071	524	452	5366	1508	24457	3144	21306	3032	77	143	21229	3036	21173	3016	56	103	3151	946
310M400US12580	Baltimore-Columbia-Towson, MD Metro Area	1508867	2212	110127	5980	62570	4988	0	206	62570	4988	57917	5000	4653	1372	47557	3142	351500	9276	259769	8711	1159	813	258610	8700	243266	8366	15344	2294	91731	5684	388172	9271	320064	9564	4688	1078	315376	9517	301101	8929	14275	2448	68108	4288	659068	11322	590076	11308	7030	1209	583046	11433	570015	10925	13031	2115	68992	4520
310M400US14460	Boston-Cambridge-Newton, MA-NH Metro Area	2652935	1998	180120	8159	118334	6795	0	198	118334	6795	105205	6929	13129	2170	61786	4259	514635	14367	390716	13077	314	289	390402	13107	368376	12390	22026	2808	123919	6592	566883	11936	469404	10510	580	308	468824	10465	451115	10531	17709	2591	97479	5913	1391297	13100	1238275	13684	2099	667	1236176	13696	1205637	13610	30539	3023	153022	6115
310M400US14580	Bozeman, MT Micro Area	57368	775	1507	592	1335	554	0	172	1335	554	1335	554	0	172	172	171	9686	1347	7801	1182	0	172	7801	1182	7768	1185	33	62	1885	634	18050	2118	15555	2060	0	172	15555	2060	15341	2007	214	213	2495	638	28125	2069	24381	1934	0	172	24381	1934	24203	1950	178	199	3744	825
310M400US29380	Lake City, FL Micro Area	36312	1015	4570	1201	2382	1068	0	229	2382	1068	2296	1061	86	145	2188	696	13772	2001	9778	1708	0	229	9778	1708	8616	1570	1162	579	3994	932	13780	1889	10150	1707	0	229	10150	1707	9573	1660	577	495	3630	1047	4190	945	3383	889	0	229	3383	889	3242	856	141	192	807	389
310M400US47300	Visalia-Porterville, CA Metro Area	222598	1016	63211	4490	40224	3826	0	211	40224	3826	32490	3813	7734	1850	22987	2767	57464	4434	41499	3642	268	351	41231	3597	35926	3281	5305	1408	15965	2161	66610	4437	51280	4190	167	154	51113	4164	49005	3941	2108	745	15330	2005	35313	2843	30575	2570	151	194	30424	2624	29801	2634	623	374	4738	1330
310M400US48140	Wausau, WI Metro Area	69832	715	3719	857	2008	715	0	151	2008	715	1943	691	65	73	1711	615	20551	1670	16448	1308	0	151	16448	1308	16318	1299	130	75	4103	1079	24749	1711	21435	1619	7	12	21428	1615	21099	1609	329	205	3314	655	20813	2112	18217	2015	0	151	18217	2015	17966	1988	251	214	2596	649
310M400US48620	Wichita, KS Metro Area	325351	1228	30865	2729	20809	2426	0	177	20809	2426	19502	2435	1307	622	10056	1677	79964	4947	59125	4459	116	152	59009	4473	56626	4415	2383	780	20839	2349	108834	4949	87835	4616	364	303	87471	4614	84928	4662	2543	848	20999	2122	105688	4602	92621	4726	546	344	92075	4748	90328	4732	1747	608	13067	1642
