borocode	precinct	year	month	lon	lat	street1	street2	collisions	persons_involved	collisions_with_injuries	motorists_injured	passengers_injured	cyclists_injured	pedestr_injured	total_injured	motorists_killed	passengers_killed	cyclists_killed	pedestr_killed	total_killed	ambulance	bicycle	bus	fire_truck	large_com_veh_6_or_more_tires	livery_vehicle	motorcycle	other	passenger_vehicle	pedicab	pick_up_truck	scooter	small_com_veh_4_tires	sport_utility_station_wagon	taxi_vehicle	unknown	van	aggressive_driving_road_rage	alcohol_involvement	backing_unsafely	cell_phone_hand_held	driver_inattention_distraction	driver_inexperience	drugs_illegal	eating_or_drinking	err_confusn_ped_bike_other_ped	failure_to_keep_right	failure_to_yield_right_of_way	fatigued_drowsy	fell_asleep	following_too_closely	illness	listening_using_headphones	lost_consciousness	other_electronic_device	other_uninvolved_vehicle	outside_car_distraction	passenger_distraction	passing_or_lane_usage	physical_disability	prescription_medication	texting	traffic_control_disregarded	turning_improperly	unsafe_lane_changing	unsafe_speed	vehicle_vandalism
3	60	2011	8	-73.987424	40.58539	CROPSEY AVENUE	SHORE PARKWAY	4	8	1	0	0	1	0	1	0	0	0	0	0																																															
3	60	2011	8	-73.98584	40.576503	MERMAID AVENUE	WEST 19 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3																																						
3	60	2011	8	-73.983088	40.579161	NEPTUNE AVENUE	WEST 15 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2					1																																	
3	60	2011	8	-73.986609	40.574894	SURF AVENUE	WEST 20 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	61	2011	8	-73.955477	40.598939	AVENUE U	EAST 16 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3														1								1																
3	61	2011	8	-73.954749	40.590086	AVENUE Y	EAST 15 STREET	3	6	2	0	0	1	1	2	0	0	0	0	0		1							3					1									2																								
3	61	2011	8	-73.964533	40.594405	GRAVESEND NECK ROAD	OCEAN PARKWAY	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3																			1																			
3	62	2011	8	-74.006559	40.614246	15 AVENUE	81 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
3	62	2011	8	-73.998883	40.610516	18 AVENUE	80 STREET	3	6	1	0	0	1	0	1	0	0	0	0	0		1					1		3					1																															1		
3	62	2011	8	-74.000655	40.608861	18 AVENUE	83 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
3	62	2011	8	-73.987069	40.61536	20 AVENUE	67 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
3	62	2011	8	-73.997486	40.62452	64 STREET	NEW UTRECHT AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2								1						1																								
3	62	2011	8	-73.999719	40.605483	86 STREET	BAY 22 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3														1																								
3	63	2011	8	-73.931273	40.632666	AVENUE H	SCHENECTADY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	63	2011	8	-73.93294	40.630205	AVENUE I	EAST 45 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	63	2011	8	-73.920391	40.621778	AVENUE M	EAST 57 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	63	2011	8	-73.911388	40.619894	AVENUE T	EAST 68 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	63	2011	8	-73.917563	40.613056	AVENUE U	EAST 57 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0																																															
3	66	2011	8	-73.998721	40.639016	10 AVENUE	49 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	66	2011	8	-73.985252	40.638175	14 AVENUE	41 STREET	2	4	2	1	0	1	0	2	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.919622	40.6502	AVENUE A	EAST 88 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.914836	40.650485	AVENUE B	EAST 92 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.945623	40.641127	AVENUE D	NEW YORK AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.929353	40.642134	AVENUE D	UTICA AVENUE	4	8	3	0	0	1	2	3	0	0	0	0	0		1							3					2																																	
3	67	2011	8	-73.955907	40.65137	BEDFORD AVENUE	MARTENSE STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1											1																																		
3	67	2011	8	-73.925943	40.646544	BEVERLEY ROAD	EAST 54 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
3	67	2011	8	-73.925922	40.646559	BEVERLY ROAD	EAST 54 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.919906	40.644329	CANARSIE LANE	RALPH AVENUE	2	4	2	0	1	1	0	2	0	0	0	0	0		2							2																																						
3	67	2011	8	-73.946675	40.650949	CHURCH AVENUE	NEW YORK AVENUE	3	8	2	2	2	1	0	5	0	0	0	0	0		1						1	4																																						
3	67	2011	8	-73.935483	40.644989	CORTELYOU ROAD	TROY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1															1																														
3	67	2011	8	-73.939832	40.649512	EAST 40 STREET	SNYDER AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1																																													
3	67	2011	8	-73.928994	40.648244	EAST 51 STREET	TILDEN AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							1					2																																	
3	67	2011	8	-73.925424	40.663294	EAST 95 STREET	RUTLAND ROAD	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.921051	40.663313	EAST 98 STREET	WINTHROP STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	67	2011	8	-73.930606	40.653806	LINDEN BOULEVARD	UTICA AVENUE	5	10	2	0	0	1	1	2	0	0	0	0	0																																															
3	68	2011	8	-74.02352	40.634616	4 AVENUE	BAY RIDGE AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	68	2011	8	-74.0107	40.629647	67 STREET	FT HAMILTON PARKWAY	1	2	1	0	0	1	0	1	0	0	0	0	0		1															1						1																								
3	68	2011	8	-74.025363	40.620977	86 STREET	GELSTON AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1											1																																		
3	68	2011	8	-74.016488	40.625776	BAY RIDGE PARKWAY	FT HAMILTON PARKWAY	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	69	2011	8	-73.901217	40.640461	AVENUE J	EAST 94 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0	1	1												2																																	
3	69	2011	8	-73.906707	40.634106	AVENUE K	EAST 84 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	69	2011	8	-73.890327	40.639079	AVENUE M	EAST 101 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	70	2011	8	-73.962775	40.627468	AVENUE I	EAST 14 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	70	2011	8	-73.961581	40.636369	EAST 17 STREET	NEWKIRK AVENUE	2	4	2	0	0	1	1	2	0	0	0	0	0		1														1																															
3	70	2011	8	-73.971448	40.630877	OCEAN PARKWAY	PARKVILLE AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3																																						
3	71	2011	8	-73.95048	40.670068	EASTERN PARKWAY	NOSTRAND AVENUE	5	12	2	0	3	1	0	4	0	0	0	0	0		1							7						1																																
3	71	2011	8	-73.934391	40.663604	EMPIRE BOULEVARD	SCHENECTADY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	71	2011	8	-73.960519	40.65878	FLATBUSH AVENUE	RUTLAND ROAD	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	71	2011	8	-73.960074	40.656485	FLATBUSH AVENUE	WINTHROP STREET	3	6	3	0	0	1	2	3	0	0	0	0	0		1							2								1																														
3	71	2011	8	-73.947912	40.662535	LEFFERTS AVENUE	NEW YORK AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0		1							5											1																											
3	71	2011	8	-73.950669	40.668072	NOSTRAND AVENUE	PRESIDENT STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	71	2011	8	-73.928443	40.667671	ROCHESTER AVENUE	UNION STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	71	2011	8	-73.937112	40.660235	RUTLAND ROAD	TROY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	71	2011	8	-73.931215	40.667824	UNION STREET	UTICA AVENUE	5	10	2	0	0	1	1	2	0	0	0	0	0		1							8																																						
3	72	2011	8	-73.989814	40.664964	16 STREET	5 AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1											1																											
3	72	2011	8	-74.003676	40.65841	3 AVENUE	31 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1											1																																		
3	72	2011	8	-74.006224	40.652663	39 STREET	4 AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1	1																																												
3	72	2011	8	-74.014266	40.644754	4 AVENUE	53 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							1					1		1																															
3	72	2011	8	-74.013231	40.642306	5 AVENUE	55 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	72	2011	8	-73.990545	40.664166	5 AVENUE	PROSPECT AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	72	2011	8	-74.006623	40.638316	55 STREET	8 AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																							1																								
3	72	2011	8	-73.980713	40.649524	GREENWOOD AVENUE	MC DONALD AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	73	2011	8	-73.911812	40.683181	BAINBRIDGE STREET	ROCKAWAY AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2																																						
3	73	2011	8	-73.90597	40.666181	BLAKE AVENUE	STONE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1																																													
3	73	2011	8	-73.914701	40.685316	BOYLAND STREET	BROADWAY	2	4	1	0	0	1	0	1	0	0	0	0	0		1	1						1																																						
3	73	2011	8	-73.913776	40.675686	BOYLAND STREET	PACIFIC STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	73	2011	8	-73.910244	40.66395	CHESTER STREET	DUMONT AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	73	2011	8	-73.909307	40.664097	DUMONT AVENUE	ROCKAWAY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1																																													
3	75	2011	8	-73.893018	40.679608	ARLINGTON AVENUE	MILLER AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	75	2011	8	-73.889007	40.678558	BARBEY STREET	FULTON STREET	2	3	1	0	0	1	0	1	0	0	0	0	0		1							2																																						
3	75	2011	8	-73.879568	40.672985	BELMONT AVENUE	BERRIMAN STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	75	2011	8	-73.89148	40.669926	BRADFORD STREET	SUTTER AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	75	2011	8	-73.898681	40.664061	HINSDALE STREET	LIVONIA AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	75	2011	8	-73.892662	40.663369	NEW JERSEY AVENUE	RIVERDALE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	75	2011	8	-73.888394	40.655463	PENNSYLVANIA AVENUE	WORTMAN AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2					1																																	
3	76	2011	8	-73.993603	40.687126	COURT STREET	WYCKOFF STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	77	2011	8	-73.954318	40.672754	BEDFORD AVENUE	STERLING PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	77	2011	8	-73.959124	40.677515	BERGEN STREET	CLASSON AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	77	2011	8	-73.971887	40.676393	FLATBUSH AVENUE	STERLING PLACE	4	8	1	0	0	1	0	1	0	0	0	0	0																																			1												
3	77	2011	8	-73.957021	40.673293	FRANKLIN AVENUE	STERLING PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	77	2011	8	-73.941946	40.672078	KINGSTON AVENUE	STERLING PLACE	2	4	2	2	0	1	0	3	0	0	0	0	0		1							3																										1			1					1				
3	78	2011	8	-73.983585	40.664489	13 STREET	7 AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																		1				
3	78	2011	8	-73.985699	40.673975	3 STREET	4 AVENUE	3	13	2	0	2	1	0	3	0	0	0	0	0																																			1										1		
3	78	2011	8	-73.98765	40.671521	4 AVENUE	7 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2							1																			1				1								
3	78	2011	8	-73.980121	40.68189	4 AVENUE	ST MARKS PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1														1																			
3	78	2011	8	-73.986305	40.669172	5 AVENUE	9 STREET	3	8	2	0	0	1	3	4	0	0	0	0	0		1							4														1					1							1												
3	78	2011	8	-73.979598	40.67768	5 AVENUE	LINCOLN PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																		1		1		
3	78	2011	8	-73.97469	40.680267	6 AVENUE	FLATBUSH AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	78	2011	8	-73.98158	40.666887	7 AVENUE	9 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3														1																1								
3	78	2011	8	-73.972716	40.677522	FLATBUSH AVENUE	PARK PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																						1																
3	79	2011	8	-73.952969	40.678641	ATLANTIC AVENUE	BEDFORD AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3										1																												
3	79	2011	8	-73.955121	40.689445	BEDFORD AVENUE	LAFAYETTE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	79	2011	8	-73.956142	40.694578	BEDFORD AVENUE	MYRTLE AVENUE	6	15	2	1	3	1	0	5	0	0	0	0	0																																					1								1		
3	79	2011	8	-73.959462	40.690443	DEKALB AVENUE	TAAFFE PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	79	2011	8	-73.958858	40.698677	FLUSHING AVENUE	FRANKLIN AVENUE	3	5	1	0	0	1	0	1	0	0	0	0	0		2						1	3																																						
3	79	2011	8	-73.956074	40.69909	FLUSHING AVENUE	SPENCER STREET	2	5	2	0	0	1	1	2	0	0	0	0	0		1							3																																						
3	79	2011	8	-73.949557	40.68039	FULTON STREET	NOSTRAND AVENUE	2	4	2	0	1	1	0	2	0	0	0	0	0		2							1						1					1																											
3	79	2011	8	-73.959312	40.694214	KENT AVENUE	MYRTLE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1							1																								
3	79	2011	8	-73.946437	40.681448	MACON STREET	MARCY AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							1							2				1																											
3	79	2011	8	-73.948916	40.693905	MARCY AVENUE	WILLOUGHBY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	79	2011	8	-73.943526	40.69603	MYRTLE AVENUE	THROOP AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	81	2011	8	-73.932897	40.679484	FULTON STREET	SCHENECTADY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1													1																																
3	81	2011	8	-73.926384	40.684503	HALSEY STREET	PATCHEN AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																										1												
3	81	2011	8	-73.917701	40.685499	HALSEY STREET	SARATOGA AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	81	2011	8	-73.926969	40.687438	MADISON STREET	PATCHEN AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1						1																																							
3	83	2011	8	-73.923169	40.690122	BROADWAY	QUINCY STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	83	2011	8	-73.933697	40.698105	BUSHWICK AVENUE	STANWIX STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
