Table 1.  Educational Attainment of the Population 18 Years and Over by Age Sex Race and Hispanic Origin:  2012																
(Numbers in thousands.  Civilian noninstitutionalized population.)																
																
All Races	Educational Attainment															
	Total	None	1st - 4th grade	5th - 6th grade	7th - 8th grade	9th grade	10th grade	11th grade	High school graduate	Some college no degree	Associate's degree occupational	Associate's degree academic	Bachelor's degree	Master's degree	Professional degree	Doctoral degree
Both Sexes																
.18 years and over	234719	834	1764	3618	4575	4068	4814	11249	70441	45685	9380	12100	43277	16625	3099	3191
..18 to 24 years	30140	39	76	114	279	376	803	3960	8327	11522	741	1002	2716	167	6	13
.25 years and over	204579	796	1688	3504	4296	3692	4011	7289	62113	34163	8639	11098	40561	16459	3093	3178
..25 to 29 years	20893	30	88	223	206	317	370	909	5643	4161	813	1136	5501	1147	224	125
..30 to 34 years	20326	54	100	348	286	392	387	704	5331	3515	962	1178	4643	1759	385	280
..35 to 39 years	19140	54	124	398	318	363	294	592	4899	3285	883	1182	4322	1809	291	327
..40 to 44 years	20787	62	121	321	361	410	303	667	5782	3401	928	1308	4564	1947	305	306
..45 to 49 years	21583	77	177	373	293	332	357	765	6621	3547	1051	1234	4464	1685	324	285
..50 to 54 years	22372	86	161	372	327	298	424	765	7306	3670	964	1339	4262	1723	360	314
..55 to 59 years	20470	67	158	280	292	299	355	642	6546	3355	921	1229	3838	1835	317	337
..60 to 64 years	17501	75	147	252	325	225	252	458	5227	3140	821	1043	3261	1642	282	350
..65 to 69 years	13599	41	133	219	369	311	318	483	4463	2191	511	575	2195	1205	254	333
..70 to 74 years	9784	71	158	202	375	237	290	477	3604	1378	282	362	1335	703	136	173
..75 years and over	18123	178	321	516	1145	508	663	827	6692	2519	503	512	2174	1003	216	347
Male																
.18 years and over	113279	402	886	1848	2274	1994	2372	5804	34809	21626	4244	5057	20529	7478	1939	2018
..18 to 24 years	15160	16	35	86	155	219	424	2138	4593	5554	329	412	1114	81	1	2
.25 years and over	98119	386	851	1761	2118	1775	1947	3666	30216	16072	3915	4645	19415	7397	1938	2016
..25 to 29 years	10430	20	55	137	96	187	204	510	3200	2034	373	509	2525	417	117	46
..30 to 34 years	10034	30	56	198	149	192	216	397	2926	1724	455	525	2178	659	198	130
..35 to 39 years	9421	34	56	222	167	182	122	324	2688	1603	402	474	2029	811	144	164
..40 to 44 years	10255	46	57	175	213	212	163	369	3117	1641	422	529	2066	865	179	202
..45 to 49 years	10584	47	96	216	163	182	193	392	3393	1661	551	477	2085	757	209	163
..50 to 54 years	10906	37	89	194	175	130	206	452	3671	1673	434	574	2056	789	226	201
..55 to 59 years	9879	27	89	116	130	142	203	332	3206	1637	368	495	1891	829	203	211
..60 to 64 years	8278	34	58	126	162	105	134	187	2402	1388	363	443	1652	781	197	246
..65 to 69 years	6461	17	69	87	187	161	152	211	1850	1054	240	239	1156	601	185	251
..70 to 74 years	4519	31	82	78	198	116	108	202	1467	628	122	171	730	349	106	130
..75 years and over	7353	64	144	213	478	165	246	290	2295	1031	185	209	1047	540	174	272
Female																
.18 years and over	121440	432	879	1771	2301	2073	2443	5445	35632	24059	5136	7043	22748	9147	1160	1173
..18 to 24 years	14980	23	42	28	124	157	378	1821	3734	5968	412	590	1602	85	5	11
.25 years and over	106460	409	837	1743	2178	1917	2064	3623	31898	18091	4724	6452	21146	9062	1155	1162
..25 to 29 years	10464	10	33	86	110	130	166	399	2443	2127	439	628	2976	730	107	80
..30 to 34 years	10292	25	44	151	137	200	170	307	2405	1791	507	653	2466	1100	187	149
..35 to 39 years	9719	21	69	176	150	181	172	268	2211	1683	480	707	2293	998	147	162
..40 to 44 years	10532	16	64	146	148	198	140	298	2666	1761	507	780	2498	1082	126	104
..45 to 49 years	11000	29	80	157	130	150	164	372	3228	1886	500	756	2379	929	116	122
..50 to 54 years	11466	50	72	178	152	168	218	313	3635	1998	531	764	2207	934	134	113
..55 to 59 years	10592	41	69	164	162	157	152	310	3340	1718	553	734	1947	1006	114	126
..60 to 64 years	9223	41	89	126	163	120	118	271	2825	1752	459	600	1609	861	85	105
..65 to 69 years	7139	24	64	132	182	150	165	272	2613	1137	271	336	1039	604	68	82
..70 to 74 years	5265	40	76	125	177	121	182	275	2137	751	160	191	605	354	30	43
..75 years and over	10771	114	177	303	667	344	417	537	4397	1488	318	303	1127	463	42	75													
																
Source:  U.S. Census Bureau Current Population Survey 2012 Annual Social and Economic Supplement																
