Year	Population
1950	2557628654
1951	2594919657
1952	2636732631
1953	2681994386
1954	2730149884
1955	2782001154
1956	2835182293
1957	2891211793
1958	2947979287
1959	3000544325
1960	3042828380
1961	3083799968
1962	3139919051
1963	3209631895
1964	3280981862
1965	3350186115
1966	3420416498
1967	3490051163
1968	3562007503
1969	3636825800
1970	3712338708
1971	3789941225
1972	3866158404
1973	3941664971
1974	4016159586
1975	4088621062
1976	4159718199
1977	4231619236
1978	4303647736
1979	4378565589
1980	4450929761
1981	4533928518
1982	4614015853
1983	4695112999
1984	4773874962
1985	4855692131
1986	4939715093
1987	5026262667
1988	5113554741
1989	5200376354
1990	5287869228
1991	5370833520
1992	5455716183
1993	5538201967
1994	5618942438
1995	5699768392
1996	5780312511
1997	5859124817
1998	5936610692
2000	6090319399
2001	6167064399
2002	6243867851
2003	6320371175
2004	6397322922
2005	6474229144
2006	6552104498
2007	6630764007
2008	6709620605
2010	6866054281
2011	6943437438
2012	7020760225
2013	7098495231
2014	7176023055
2015	7253260112
2016	7330119639
2017	7406521216
2018	7482239028
2019	7557130074
2020	7631071690
2021	7704115688
2022	7776293343
2023	7847482286
2024	7917600174
2025	7986584268
2026	8054512457
2027	8121441056
2028	8187308524
2029	8252088787
2030	8315758309
2031	8378365217
2032	8439982435
2033	8500602336
2034	8560208295
2035	8618767751
2036	8676328419
2037	8732942484
2038	8788587101
2039	8843232673
2040	8896844579
2041	8949450376
2042	9001084601
2043	9051710688
2044	9101286573
2045	9149777822
2046	9197214283
2047	9243623755
2048	9288977019
2049	9333247705
2050	9376416975
