Location,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br
Alabama,629,685,832,1111,1293
Alaska,819,936,1197,1692,2031
Arizona,740,874,1105,1597,1853
Arkansas,530,577,729,989,1158
California,1239,1457,1858,2574,2990
Colorado,889,1047,1327,1912,2241
Connecticut,905,1084,1357,1724,1992
Delaware,891,1027,1252,1653,1877
District of Columbia,1438,1511,1744,2297,2851
Florida,850,986,1229,1665,1999
Georgia,834,883,1042,1383,1680
Idaho,581,661,855,1202,1461
Illinois,793,914,1097,1411,1670
Indiana,570,663,833,1096,1238
Iowa,523,606,775,1040,1164
Kansas,574,672,862,1169,1348
Kentucky,541,607,772,1053,1213
Louisiana,595,684,831,1075,1257
Maine,706,775,963,1268,1417
Maryland,1127,1265,1524,1987,2405
Massachusetts,1154,1322,1643,2063,2293
Michigan,612,725,927,1243,1367
Minnesota,710,861,1095,1520,1779
Mississippi,584,664,809,1068,1208
Missouri,577,666,851,1150,1319
Montana,559,623,791,1103,1318
Nebraska,540,659,843,1134,1275
Nevada,744,906,1138,1652,1987
New Hampshire,936,1051,1341,1764,1973
New Jersey,1102,1263,1550,2004,2314
New Mexico,580,680,837,1167,1381
New York,1173,1296,1542,1982,2182
North Carolina,713,774,930,1252,1510
North Dakota,532,583,750,1055,1210
Ohio,576,667,857,1135,1272
Oklahoma,535,603,775,1051,1222
Oregon,878,986,1210,1755,2106
Pennsylvania,714,830,1027,1306,1438
Rhode Island,861,975,1180,1496,1792
South Carolina,685,780,936,1244,1500
South Dakota,489,568,726,992,1126
Tennessee,629,711,878,1170,1378
Texas,746,861,1070,1444,1780
Utah,669,806,997,1431,1669
Vermont,865,973,1228,1624,1785
Virginia,1016,1071,1264,1693,2073
Washington,1030,1182,1481,2132,2525
West Virginia,544,606,736,975,1107
Wisconsin,587,687,872,1156,1295
Wyoming,556,623,799,1087,1286
